"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births
	"2007"	"2007"	"Alameda County, CA"	"06001"	21522
	"2007"	"2007"	"Butte County, CA"	"06007"	2523
	"2007"	"2007"	"Contra Costa County, CA"	"06013"	13487
	"2007"	"2007"	"El Dorado County, CA"	"06017"	1882
	"2007"	"2007"	"Fresno County, CA"	"06019"	17292
	"2007"	"2007"	"Humboldt County, CA"	"06023"	1599
	"2007"	"2007"	"Imperial County, CA"	"06025"	3146
	"2007"	"2007"	"Kern County, CA"	"06029"	15336
	"2007"	"2007"	"Kings County, CA"	"06031"	2781
	"2007"	"2007"	"Los Angeles County, CA"	"06037"	151908
	"2007"	"2007"	"Madera County, CA"	"06039"	2612
	"2007"	"2007"	"Marin County, CA"	"06041"	2820
	"2007"	"2007"	"Merced County, CA"	"06047"	4652
	"2007"	"2007"	"Monterey County, CA"	"06053"	7551
	"2007"	"2007"	"Napa County, CA"	"06055"	1665
	"2007"	"2007"	"Orange County, CA"	"06059"	44038
	"2007"	"2007"	"Placer County, CA"	"06061"	4054
	"2007"	"2007"	"Riverside County, CA"	"06065"	34563
	"2007"	"2007"	"Sacramento County, CA"	"06067"	22119
	"2007"	"2007"	"San Bernardino County, CA"	"06071"	35190
	"2007"	"2007"	"San Diego County, CA"	"06073"	47569
	"2007"	"2007"	"San Francisco County, CA"	"06075"	9129
	"2007"	"2007"	"San Joaquin County, CA"	"06077"	11600
	"2007"	"2007"	"San Luis Obispo County, CA"	"06079"	2884
	"2007"	"2007"	"San Mateo County, CA"	"06081"	9914
	"2007"	"2007"	"Santa Barbara County, CA"	"06083"	6292
	"2007"	"2007"	"Santa Clara County, CA"	"06085"	27490
	"2007"	"2007"	"Santa Cruz County, CA"	"06087"	3571
	"2007"	"2007"	"Shasta County, CA"	"06089"	2230
	"2007"	"2007"	"Solano County, CA"	"06095"	5849
	"2007"	"2007"	"Sonoma County, CA"	"06097"	5742
	"2007"	"2007"	"Stanislaus County, CA"	"06099"	8827
	"2007"	"2007"	"Tulare County, CA"	"06107"	8507
	"2007"	"2007"	"Ventura County, CA"	"06111"	12198
	"2007"	"2007"	"Yolo County, CA"	"06113"	2522
	"2007"	"2007"	"Unidentified Counties, CA"	"06999"	11350
"Total"	"2007"	"2007"			566414
	"2008"	"2008"	"Alameda County, CA"	"06001"	20976
	"2008"	"2008"	"Butte County, CA"	"06007"	2520
	"2008"	"2008"	"Contra Costa County, CA"	"06013"	13135
	"2008"	"2008"	"El Dorado County, CA"	"06017"	1814
	"2008"	"2008"	"Fresno County, CA"	"06019"	16764
	"2008"	"2008"	"Humboldt County, CA"	"06023"	1601
	"2008"	"2008"	"Imperial County, CA"	"06025"	3241
	"2008"	"2008"	"Kern County, CA"	"06029"	15316
	"2008"	"2008"	"Kings County, CA"	"06031"	2711
	"2008"	"2008"	"Los Angeles County, CA"	"06037"	147745
	"2008"	"2008"	"Madera County, CA"	"06039"	2535
	"2008"	"2008"	"Marin County, CA"	"06041"	2719
	"2008"	"2008"	"Merced County, CA"	"06047"	4422
	"2008"	"2008"	"Monterey County, CA"	"06053"	7435
	"2008"	"2008"	"Napa County, CA"	"06055"	1671
	"2008"	"2008"	"Orange County, CA"	"06059"	42467
	"2008"	"2008"	"Placer County, CA"	"06061"	4035
	"2008"	"2008"	"Riverside County, CA"	"06065"	32881
	"2008"	"2008"	"Sacramento County, CA"	"06067"	21397
	"2008"	"2008"	"San Bernardino County, CA"	"06071"	33837
	"2008"	"2008"	"San Diego County, CA"	"06073"	46755
	"2008"	"2008"	"San Francisco County, CA"	"06075"	9106
	"2008"	"2008"	"San Joaquin County, CA"	"06077"	11030
	"2008"	"2008"	"San Luis Obispo County, CA"	"06079"	2739
	"2008"	"2008"	"San Mateo County, CA"	"06081"	9770
	"2008"	"2008"	"Santa Barbara County, CA"	"06083"	6320
	"2008"	"2008"	"Santa Clara County, CA"	"06085"	26731
	"2008"	"2008"	"Santa Cruz County, CA"	"06087"	3537
	"2008"	"2008"	"Shasta County, CA"	"06089"	2186
	"2008"	"2008"	"Solano County, CA"	"06095"	5609
	"2008"	"2008"	"Sonoma County, CA"	"06097"	5763
	"2008"	"2008"	"Stanislaus County, CA"	"06099"	8550
	"2008"	"2008"	"Tulare County, CA"	"06107"	8535
	"2008"	"2008"	"Ventura County, CA"	"06111"	12075
	"2008"	"2008"	"Yolo County, CA"	"06113"	2669
	"2008"	"2008"	"Unidentified Counties, CA"	"06999"	11182
"Total"	"2008"	"2008"			551779
	"2009"	"2009"	"Alameda County, CA"	"06001"	20325
	"2009"	"2009"	"Butte County, CA"	"06007"	2440
	"2009"	"2009"	"Contra Costa County, CA"	"06013"	12686
	"2009"	"2009"	"El Dorado County, CA"	"06017"	1727
	"2009"	"2009"	"Fresno County, CA"	"06019"	16271
	"2009"	"2009"	"Humboldt County, CA"	"06023"	1541
	"2009"	"2009"	"Imperial County, CA"	"06025"	3151
	"2009"	"2009"	"Kern County, CA"	"06029"	14828
	"2009"	"2009"	"Kings County, CA"	"06031"	2645
	"2009"	"2009"	"Los Angeles County, CA"	"06037"	139757
	"2009"	"2009"	"Madera County, CA"	"06039"	2390
	"2009"	"2009"	"Marin County, CA"	"06041"	2496
	"2009"	"2009"	"Merced County, CA"	"06047"	4407
	"2009"	"2009"	"Monterey County, CA"	"06053"	7070
	"2009"	"2009"	"Napa County, CA"	"06055"	1653
	"2009"	"2009"	"Orange County, CA"	"06059"	40437
	"2009"	"2009"	"Placer County, CA"	"06061"	3810
	"2009"	"2009"	"Riverside County, CA"	"06065"	31605
	"2009"	"2009"	"Sacramento County, CA"	"06067"	20433
	"2009"	"2009"	"San Bernardino County, CA"	"06071"	32006
	"2009"	"2009"	"San Diego County, CA"	"06073"	44982
	"2009"	"2009"	"San Francisco County, CA"	"06075"	8810
	"2009"	"2009"	"San Joaquin County, CA"	"06077"	10876
	"2009"	"2009"	"San Luis Obispo County, CA"	"06079"	2617
	"2009"	"2009"	"San Mateo County, CA"	"06081"	9452
	"2009"	"2009"	"Santa Barbara County, CA"	"06083"	6041
	"2009"	"2009"	"Santa Clara County, CA"	"06085"	25203
	"2009"	"2009"	"Santa Cruz County, CA"	"06087"	3299
	"2009"	"2009"	"Shasta County, CA"	"06089"	2068
	"2009"	"2009"	"Solano County, CA"	"06095"	5393
	"2009"	"2009"	"Sonoma County, CA"	"06097"	5685
	"2009"	"2009"	"Stanislaus County, CA"	"06099"	7942
	"2009"	"2009"	"Tulare County, CA"	"06107"	8361
	"2009"	"2009"	"Ventura County, CA"	"06111"	11360
	"2009"	"2009"	"Yolo County, CA"	"06113"	2483
	"2009"	"2009"	"Unidentified Counties, CA"	"06999"	10770
"Total"	"2009"	"2009"			527020
	"2010"	"2010"	"Alameda County, CA"	"06001"	19306
	"2010"	"2010"	"Butte County, CA"	"06007"	2457
	"2010"	"2010"	"Contra Costa County, CA"	"06013"	12358
	"2010"	"2010"	"El Dorado County, CA"	"06017"	1621
	"2010"	"2010"	"Fresno County, CA"	"06019"	16283
	"2010"	"2010"	"Humboldt County, CA"	"06023"	1551
	"2010"	"2010"	"Imperial County, CA"	"06025"	3081
	"2010"	"2010"	"Kern County, CA"	"06029"	14419
	"2010"	"2010"	"Kings County, CA"	"06031"	2509
	"2010"	"2010"	"Los Angeles County, CA"	"06037"	133252
	"2010"	"2010"	"Madera County, CA"	"06039"	2434
	"2010"	"2010"	"Marin County, CA"	"06041"	2371
	"2010"	"2010"	"Merced County, CA"	"06047"	4249
	"2010"	"2010"	"Monterey County, CA"	"06053"	6765
	"2010"	"2010"	"Napa County, CA"	"06055"	1525
	"2010"	"2010"	"Orange County, CA"	"06059"	38250
	"2010"	"2010"	"Placer County, CA"	"06061"	3825
	"2010"	"2010"	"Riverside County, CA"	"06065"	30670
	"2010"	"2010"	"Sacramento County, CA"	"06067"	20056
	"2010"	"2010"	"San Bernardino County, CA"	"06071"	31368
	"2010"	"2010"	"San Diego County, CA"	"06073"	44867
	"2010"	"2010"	"San Francisco County, CA"	"06075"	8806
	"2010"	"2010"	"San Joaquin County, CA"	"06077"	10596
	"2010"	"2010"	"San Luis Obispo County, CA"	"06079"	2735
	"2010"	"2010"	"San Mateo County, CA"	"06081"	9194
	"2010"	"2010"	"Santa Barbara County, CA"	"06083"	5821
	"2010"	"2010"	"Santa Clara County, CA"	"06085"	23940
	"2010"	"2010"	"Santa Cruz County, CA"	"06087"	3192
	"2010"	"2010"	"Shasta County, CA"	"06089"	2136
	"2010"	"2010"	"Solano County, CA"	"06095"	5050
	"2010"	"2010"	"Sonoma County, CA"	"06097"	5393
	"2010"	"2010"	"Stanislaus County, CA"	"06099"	7806
	"2010"	"2010"	"Tulare County, CA"	"06107"	8155
	"2010"	"2010"	"Ventura County, CA"	"06111"	11150
	"2010"	"2010"	"Yolo County, CA"	"06113"	2427
	"2010"	"2010"	"Unidentified Counties, CA"	"06999"	10580
"Total"	"2010"	"2010"			510198
	"2011"	"2011"	"Alameda County, CA"	"06001"	19003
	"2011"	"2011"	"Butte County, CA"	"06007"	2391
	"2011"	"2011"	"Contra Costa County, CA"	"06013"	12060
	"2011"	"2011"	"El Dorado County, CA"	"06017"	1630
	"2011"	"2011"	"Fresno County, CA"	"06019"	16160
	"2011"	"2011"	"Humboldt County, CA"	"06023"	1448
	"2011"	"2011"	"Imperial County, CA"	"06025"	3079
	"2011"	"2011"	"Kern County, CA"	"06029"	14287
	"2011"	"2011"	"Kings County, CA"	"06031"	2567
	"2011"	"2011"	"Los Angeles County, CA"	"06037"	130370
	"2011"	"2011"	"Madera County, CA"	"06039"	2401
	"2011"	"2011"	"Marin County, CA"	"06041"	2386
	"2011"	"2011"	"Merced County, CA"	"06047"	4280
	"2011"	"2011"	"Monterey County, CA"	"06053"	6812
	"2011"	"2011"	"Napa County, CA"	"06055"	1572
	"2011"	"2011"	"Orange County, CA"	"06059"	38101
	"2011"	"2011"	"Placer County, CA"	"06061"	3834
	"2011"	"2011"	"Riverside County, CA"	"06065"	30611
	"2011"	"2011"	"Sacramento County, CA"	"06067"	20002
	"2011"	"2011"	"San Bernardino County, CA"	"06071"	30566
	"2011"	"2011"	"San Diego County, CA"	"06073"	43643
	"2011"	"2011"	"San Francisco County, CA"	"06075"	8813
	"2011"	"2011"	"San Joaquin County, CA"	"06077"	10329
	"2011"	"2011"	"San Luis Obispo County, CA"	"06079"	2631
	"2011"	"2011"	"San Mateo County, CA"	"06081"	9048
	"2011"	"2011"	"Santa Barbara County, CA"	"06083"	5804
	"2011"	"2011"	"Santa Clara County, CA"	"06085"	23649
	"2011"	"2011"	"Santa Cruz County, CA"	"06087"	3233
	"2011"	"2011"	"Shasta County, CA"	"06089"	2022
	"2011"	"2011"	"Solano County, CA"	"06095"	5160
	"2011"	"2011"	"Sonoma County, CA"	"06097"	5150
	"2011"	"2011"	"Stanislaus County, CA"	"06099"	7738
	"2011"	"2011"	"Tulare County, CA"	"06107"	7966
