"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	Births	% of Total Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	77	0.00%	18764	4.10	4748	16.22	3412.64	27.84	38.70	39.03
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	6201	0.10%	404479	15.33	99398	62.39	3237.05	31.21	38.70	38.67
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	"Black or African American"	"2054-5"	2788	0.04%	210621	13.24	48659	57.30	3168.57	26.85	38.46	38.47
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	"White"	"2106-3"	12456	0.19%	821851	15.16	172417	72.24	3384.45	29.13	38.95	38.90
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	81	0.00%	19997	4.05	5114	15.84	3447.64	27.72	39.09	39.06
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	"Asian or Pacific Islander"	"A-PI"	6082	0.09%	418273	14.54	101733	59.78	3214.75	31.33	38.71	38.63
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	"Black or African American"	"2054-5"	2748	0.04%	211294	13.01	48656	56.48	3186.11	27.00	38.56	38.54
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	"White"	"2106-3"	12065	0.19%	827644	14.58	173178	69.67	3377.13	29.33	38.90	38.86
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	67	0.00%	21252	3.15	5343	12.54	3292.23	27.99	38.84	38.78
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	6111	0.09%	430791	14.19	103577	59.00	3213.64	31.39	38.73	38.65
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	"Black or African American"	"2054-5"	2717	0.04%	213391	12.73	48848	55.62	3188.76	27.02	38.62	38.64
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	"White"	"2106-3"	11430	0.18%	833105	13.72	173532	65.87	3383.78	29.43	38.90	38.84
