"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Births	% of Total Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Birth Weight	Average Age of Mother	Average LMP Gestational Age	Average OE Gestational Age
	"California"	"06"	"Alameda County, CA"	"06001"	"2007"	"2007"	21522	0.33%	1455715	14.78	325222	66.18	3314.12	29.43	38.82	38.78
	"California"	"06"	"Alameda County, CA"	"06001"	"2008"	"2008"	20976	0.32%	1477208	14.20	328681	63.82	3305.30	29.60	38.80	38.75
	"California"	"06"	"Alameda County, CA"	"06001"	"2009"	"2009"	20325	0.31%	1498539	13.56	331300	61.35	3306.25	29.69	38.81	38.76
	"California"	"06"	"Alameda County, CA"	"06001"	"2010"	"2010"	19306	0.30%	1510271	12.78	331716	58.20	3301.37	29.89	38.79	38.75
	"California"	"06"	"Alameda County, CA"	"06001"	"2011"	"2011"	19003	0.29%	1529875	12.42	332571	57.14	3292.32	30.10	38.78	38.73
	"California"	"06"	"Alameda County, CA"	"06001"	"2012"	"2012"	19546	0.30%	1554720	12.57	338221	57.79	3295.24	30.35	38.77	38.71
	"California"	"06"	"Alameda County, CA"	"06001"	"2013"	"2013"	19257	0.30%	1578891	12.20	343239	56.10	3284.86	30.59	38.83	38.74
	"California"	"06"	"Alameda County, CA"	"06001"	"2014"	"2014"	19650	0.30%	1610921	12.20	350697	56.03	3291.69	30.74	38.81	38.74
	"California"	"06"	"Alameda County, CA"	"06001"	"2015"	"2015"	19434	0.30%	1638215	11.86	355562	54.66	3290.94	30.95	38.82	38.72
	"California"	"06"	"Alameda County, CA"	"06001"	"2016"	"2016"	19573	0.30%	1647704	11.88	357753	54.71	3290.58	31.17	38.84	38.69
	"California"	"06"	"Alameda County, CA"	"06001"	"2017"	"2017"	18888	0.29%	1663190	11.36	359950	52.47	3275.17	31.47	38.76	38.65
	"California"	"06"	"Alameda County, CA"	"06001"	"2018"	"2018"	18240	0.28%	1666753	10.94	360614	50.58	3280.05	31.61	38.76	38.65
	"California"	"06"	"Alameda County, CA"	"06001"	"2019"	"2019"	18212	0.28%	1671329	10.90	361229	50.42	3272.35	31.71	38.74	38.64
"Total"	"California"	"06"	"Alameda County, CA"	"06001"			253932	3.90%	20503331	12.38	4476755	56.72	3292.82	30.53	38.79	38.72
	"California"	"06"	"Butte County, CA"	"06007"	"2007"	"2007"	2523	0.04%	217469	11.60	44168	57.12	3348.23	26.89	38.79	38.61
	"California"	"06"	"Butte County, CA"	"06007"	"2008"	"2008"	2520	0.04%	219034	11.51	44059	57.20	3363.61	26.62	39.00	38.70
	"California"	"06"	"Butte County, CA"	"06007"	"2009"	"2009"	2440	0.04%	219777	11.10	43761	55.76	3363.14	26.85	38.97	38.76
	"California"	"06"	"Butte County, CA"	"06007"	"2010"	"2010"	2457	0.04%	220000	11.17	43736	56.18	3352.39	27.18	38.94	38.71
	"California"	"06"	"Butte County, CA"	"06007"	"2011"	"2011"	2391	0.04%	220266	10.86	44520	53.71	3371.85	27.18	38.94	38.75
	"California"	"06"	"Butte County, CA"	"06007"	"2012"	"2012"	2399	0.04%	221539	10.83	44427	54.00	3356.89	27.40	38.89	38.77
	"California"	"06"	"Butte County, CA"	"06007"	"2013"	"2013"	2415	0.04%	222090	10.87	44685	54.04	3343.34	27.76	39.01	38.82
	"California"	"06"	"Butte County, CA"	"06007"	"2014"	"2014"	2481	0.04%	224241	11.06	45262	54.81	3349.90	27.81	38.99	38.88
	"California"	"06"	"Butte County, CA"	"06007"	"2015"	"2015"	2442	0.04%	225411	10.83	45408	53.78	3339.62	27.91	38.95	38.84
	"California"	"06"	"Butte County, CA"	"06007"	"2016"	"2016"	2490	0.04%	226864	10.98	45638	54.56	3373.08	28.50	39.03	38.90
	"California"	"06"	"Butte County, CA"	"06007"	"2017"	"2017"	2386	0.04%	229294	10.41	46364	51.46	3339.08	28.79	38.87	38.80
	"California"	"06"	"Butte County, CA"	"06007"	"2018"	"2018"	2430	0.04%	231256	10.51	46959	51.75	3344.58	28.78	38.80	38.76
	"California"	"06"	"Butte County, CA"	"06007"	"2019"	"2019"	2154	0.03%	219186	9.83	45412	47.43	3347.49	29.17	38.83	38.76
"Total"	"California"	"06"	"Butte County, CA"	"06007"			31528	0.48%	2896427	10.89	584399	53.95	3353.42	27.74	38.93	38.77
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2007"	"2007"	13487	0.21%	1009152	13.36	204286	66.02	3339.86	29.23	38.86	38.70
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2008"	"2008"	13135	0.20%	1023344	12.84	205277	63.99	3340.65	29.28	38.89	38.74
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2009"	"2009"	12686	0.19%	1037890	12.22	205998	61.58	3335.84	29.44	38.87	38.74
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2010"	"2010"	12358	0.19%	1049025	11.78	206796	59.76	3315.24	29.52	38.82	38.74
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2011"	"2011"	12060	0.19%	1066096	11.31	208873	57.74	3320.01	29.76	38.81	38.72
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2012"	"2012"	12065	0.19%	1079597	11.18	210444	57.33	3327.55	29.87	38.82	38.76
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2013"	"2013"	12154	0.19%	1094205	11.11	212257	57.26	3333.88	30.18	38.85	38.76
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2014"	"2014"	12557	0.19%	1111339	11.30	215899	58.16	3332.39	30.37	38.80	38.71
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2015"	"2015"	12596	0.19%	1126745	11.18	217626	57.88	3328.76	30.55	38.79	38.69
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2016"	"2016"	12340	0.19%	1135127	10.87	218264	56.54	3327.74	30.68	38.82	38.65
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2017"	"2017"	12180	0.19%	1147439	10.61	220940	55.13	3304.55	30.87	38.76	38.62
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2018"	"2018"	12002	0.18%	1150215	10.43	220729	54.37	3310.89	31.06	38.78	38.64
	"California"	"06"	"Contra Costa County, CA"	"06013"	"2019"	"2019"	11729	0.18%	1153526	10.17	220853	53.11	3297.63	31.17	38.66	38.53
"Total"	"California"	"06"	"Contra Costa County, CA"	"06013"			161349	2.48%	14183700	11.38	2768242	58.29	3324.60	30.14	38.81	38.69
	"California"	"06"	"El Dorado County, CA"	"06017"	"2007"	"2007"	1882	0.03%	177694	10.59	30975	60.76	3335.03	29.16	38.83	38.69
	"California"	"06"	"El Dorado County, CA"	"06017"	"2008"	"2008"	1814	0.03%	179150	10.13	30456	59.56	3330.86	28.91	38.91	38.71
	"California"	"06"	"El Dorado County, CA"	"06017"	"2009"	"2009"	1727	0.03%	180455	9.57	30112	57.35	3328.28	28.68	38.90	38.72
	"California"	"06"	"El Dorado County, CA"	"06017"	"2010"	"2010"	1621	0.02%	181058	8.95	29721	54.54	3301.38	29.08	38.84	38.74
	"California"	"06"	"El Dorado County, CA"	"06017"	"2011"	"2011"	1630	0.03%	180938	9.01	29293	55.64	3345.76	29.10	38.88	38.82
	"California"	"06"	"El Dorado County, CA"	"06017"	"2012"	"2012"	1513	0.02%	180561	8.38	29097	52.00	3341.27	29.29	38.95	38.83
	"California"	"06"	"El Dorado County, CA"	"06017"	"2013"	"2013"	1534	0.02%	181737	8.44	29174	52.58	3346.35	29.52	39.03	38.80
	"California"	"06"	"El Dorado County, CA"	"06017"	"2014"	"2014"	1618	0.02%	183087	8.84	29353	55.12	3345.62	29.52	38.95	38.84
	"California"	"06"	"El Dorado County, CA"	"06017"	"2015"	"2015"	1594	0.02%	184452	8.64	29556	53.93	3313.63	29.78	38.94	38.82
	"California"	"06"	"El Dorado County, CA"	"06017"	"2016"	"2016"	1601	0.02%	185625	8.62	29270	54.70	3324.07	30.09	38.91	38.78
	"California"	"06"	"El Dorado County, CA"	"06017"	"2017"	"2017"	1570	0.02%	188987	8.31	29671	52.91	3315.50	30.05	38.94	38.81
	"California"	"06"	"El Dorado County, CA"	"06017"	"2018"	"2018"	1674	0.03%	190678	8.78	30056	55.70	3331.94	30.50	38.90	38.74
	"California"	"06"	"El Dorado County, CA"	"06017"	"2019"	"2019"	1524	0.02%	192843	7.90	30588	49.82	3328.13	31.03	38.88	38.81
"Total"	"California"	"06"	"El Dorado County, CA"	"06017"			21302	0.33%	2387265	8.92	387322	55.00	3329.85	29.57	38.91	38.77
	"California"	"06"	"Fresno County, CA"	"06019"	"2007"	"2007"	17292	0.27%	895933	19.30	192532	89.81	3288.99	26.44	38.63	38.51
	"California"	"06"	"Fresno County, CA"	"06019"	"2008"	"2008"	16764	0.26%	909630	18.43	194497	86.19	3261.06	26.37	38.54	38.39
	"California"	"06"	"Fresno County, CA"	"06019"	"2009"	"2009"	16271	0.25%	921478	17.66	196440	82.83	3270.27	26.56	38.64	38.49
	"California"	"06"	"Fresno County, CA"	"06019"	"2010"	"2010"	16283	0.25%	930450	17.50	197498	82.45	3267.26	26.75	38.54	38.47
