COUNTY	LBS_2015	RANK_2015	LBS_2016	RANK_2016
Alameda	356325	38	360559	38
Alpine	193	58	281	58
Amador	95631	45	78129	46
Butte	3306041	15	3271154	16
Calaveras	52815	47	48085	48
Colusa	2595276	20	3138962	17
Contra Costa	584109	35	563511	35
Del Norte	227927	41	195887	42
El Dorado	138775	43	230567	41
Fresno	37581795	1	35567669	1
Glenn	2233754	22	2293773	22
Humboldt	38258	50	32232	52
Imperial	4976019	11	5124263	12
Inyo	14009	53	10607	54
Kern	30670096	2	28903992	2
Kings	7042532	10	7328763	9
Lake	740529	33	721232	33
Lassen	56676	46	100520	43
Los Angeles	2592352	21	3024023	19
Madera	11323030	5	11425670	5
Marin	107494	44	71458	47
Mariposa	5868	56	5560	57
Mendocino	1307631	29	1120876	30
Merced	10160010	6	10119227	6
Modoc	219143	42	100020	44
Mono	12046	54	9615	55
Monterey	8905055	7	9284537	7
Napa	1581698	25	1299485	27
Nevada	49511	49	97449	45
Orange	1231731	30	1142033	29
Placer	383067	37	454124	36
Plumas	20971	52	38440	50
Riverside	2681367	19	2606925	20
Sacramento	4801314	13	4338672	14
San Benito	589269	34	637849	34
San Bernardino	459904	36	436478	37
San Diego	1458461	27	1569683	23
San Francisco	28935	51	35023	51
San Joaquin	12957834	4	12673685	4
San Luis Obispo	3184087	16	3091363	18
San Mateo	251756	40	271027	40
Santa Barbara	4968188	12	5532928	11
Santa Clara	1015796	31	1071587	32
Santa Cruz	1811436	23	1544921	24
Shasta	295022	39	329075	39
Sierra	11305	55	6504	56
Siskiyou	1427377	28	1478211	25
Solano	1462366	26	1346221	26
Sonoma	2861105	18	2494712	21
Stanislaus	8173058	8	7951325	8
Sutter	3147643	17	3369985	15
Tehama	982727	32	1105807	31
Trinity	4944	57	19992	53
Tulare	17624938	3	18609075	3
Tuolumne	50298	48	46618	49
Ventura	7244729	9	6398833	10
Yolo	4185401	14	4560736	13
Yuba	1603597	24	1282976	28
