CHEMICAL	LBS_2007	LBS_2008	LBS_2009	LBS_2010	LBS_2011	LBS_2012	LBS_2013	LBS_2014	LBS_2015	LBS_2016
1080	.025	.001	.268	.239	.24	.478	.267	.013	.144	.002
2,4-DB ACID	9185	11416	13523	4570	55	5826	10807	10547	9104	19023
ABAMECTIN	12362	12846	16624	19345	26945	33008	40419	38521	40045	45140
AMITRAZ			7				1486	45	101	28
ARSENIC PENTOXIDE	7805	7433	400	16144	8034	9240	8480	16719	22190	10508
ARSENIC TRIOXIDE	.046	.01	.001	.001	0	.001		.001	0	.001
ATRAZINE	27546	28491	23260	28937	22654	32173	23763	20896	17912	21282
BENOMYL	590	100	56	31	27	32	3	10	2	.766
BROMACIL, LITHIUM SALT	1172	1851	896	1835	1486	1422	1145	2472	2891	2504
BROMOXYNIL OCTANOATE	41406	65375	50300	43643	47704	56495	49699	44247	52458	45145
CARBARYL	141971	126678	135264	113066	74690	113900	117252	131744	155525	220860
CARBON DISULFIDE	36	393	.068		1	18		1	.017	.055
CHLORDECONE	.01				.002	0	0	.003	.003	.003
CYANAZINE					.544	.063		1	3	.032
CYCLOATE	31868	21242	25284	27292	30950	33562	30619	36566	39655	45150
CYCLOHEXIMIDE					.001					
DICHLOROPHEN							.131			
DICLOFOP-METHYL	157		15		7					
DINOCAP	2	2	2		.073					
DINOSEB	81	166	816	26	75	60	22	374	7	581
DIOCTYL PHTHALATE	610	340	186	453	248	262	198	73	36	94
DISODIUM CYANODITHIOIMIDO CARBONATE						80	.078		101	280
ENDRIN				.48						
EPTC	152707	129470	128993	118509	125570	168665	187349	235271	237983	255431
ETHYLENE DIBROMIDE	3	127	.005			6			.001	
ETHYLENE GLYCOL MONOMETHYL ETHER	2653	1986	2257	5187	4326	3782	6202	5601	7601	7627
ETHYLENE OXIDE	2	3	7			8		.227		
FENOXAPROP-ETHYL	153	219	11	.2	8					
FLUAZIFOP-BUTYL	5	3	21	11	8	6	17	43	16	23
HEPTACHLOR						.013				
HYDRAMETHYLNON	887	825	393	609	1096	486	444	6024	399	301
LINURON	58592	60247	51265	48424	54339	57637	52529	54158	50395	52249
METAM-SODIUM	9930337	9497562	9028103	11153272	10837368	8428425	4846428	4297539	3606650	3297827
METHANOL										2
METHYL BROMIDE	6448717	5693394	5615683	4809280	4002102	4017075	3534425	2963036	2655234	2602823
METIRAM					15	34	17	13	.432	4
MOLINATE	75241	19653	12516	24	.213	3	.317	.004	.109	5
MYCLOBUTANIL	68403	61550	59056	65604	65272	64425	61080	65056	61036	58794
NABAM	9073	9635	8963	10518	13358	13485	22187	16535	9357	18414
NICOTINE	.283	.153	.07	.078	7	.031			.02	
NITRAPYRIN	9		84	211		.004	2		5	2
OXADIAZON	12517	9402	8741	12382	7781	7272	6759	4960	12139	5009
OXYDEMETON-METHYL	122723	111612	68576	71290	26013	17562	10656	8407	6610	3764
OXYTETRACYCLINE HYDROCHLORIDE	2433	80	147	1356	208	81	266	15	45	7223
OXYTHIOQUINOX	166	170	45	6	.272	.605	.181	.968		1
POTASSIUM DIMETHYL DITHIO CARBAMATE			.021							
PROPARGITE	531832	386203	378099	294853	295374	252218	291001	246496	213205	206164
PROPAZINE						665	4	1		
RESMETHRIN	452	269	211	206	122	46	19	188	4	146
SIMAZINE	541296	438952	419423	378363	421905	368621	300394	242895	179321	163332
SODIUM DIMETHYL DITHIO CARBAMATE	9073	9800	8963	11053	13358	13485	22187	16535	9357	18414
STREPTOMYCIN SULFATE	5809	4394	3233	4040	4646	4054	4797	5161	4737	15254
SULFUR DIOXIDE	162856	187804	127394	191393	228612	188459	247117	227965	247898	279789
TAU-FLUVALINATE	1028	1068	1179	869	833	1083	1082	1361	1220	1249
THIOPHANATE-METHYL	99497	74903	89882	115025	86988	109775	103618	112593	113192	128485
TRIADIMEFON	873	1503	1056	2153	1918	2427	1620	1986	1623	1232
TRIBUTYLTIN METHACRYLATE							.936			
TRICHLORO ETHYLENE					.764		.048			
TRIFORINE	64	69	4	42	22	2	4	.9	.49	.351
VINCLOZOLIN	392	512	476	217	328	470	151	219	149	125
WARFARIN	1	.336	.43	.849	2	2	.786	1	.479	.322
