county,lbs_2012,rank_2012,lbs_2013,rank_2013
Alameda,289813,39,314537,38
Alpine,140,58,266,58
Amador,60779,46,77428,46
Butte,2828773,18,2984520,17
Calaveras,43779,49,29380,48
Colusa,2536185,19,2836263,18
Contra Costa,468149,36,395481,36
Del Norte,301298,38,284086,40
El Dorado,148674,42,143502,42
Fresno,33306325,1,34193393,1
Glenn,2086317,21,2157027,22
Humboldt,37219,50,27265,51
Imperial,5898441,12,4311787,12
Inyo,9797,54,15627,54
Kern,27816290,2,31245295,2
Kings,6783058,9,7426510,8
Lake,562729,34,594735,34
Lassen,116780,43,136083,43
Los Angeles,2027461,22,2434430,20
Madera,9467822,5,10191490,5
Marin,73588,45,84836,45
Mariposa,4390,56,17777,53
Mendocino,893795,31,987222,30
Merced,7270916,8,8527500,7
Modoc,114997,44,87856,44
Mono,5489,55,11228,56
Monterey,9047989,6,8539894,6
Napa,1332243,26,1259700,26
Nevada,46862,48,47547,47
Orange,992795,28,1075223,29
Placer,325016,37,303083,39
Plumas,47919,47,25684,52
Riverside,2851900,17,2456875,19
Sacramento,3266080,13,3640608,13
San Benito,611873,33,653783,33
San Bernardino,534780,35,572458,35
San Diego,1362582,25,1653180,25
San Francisco,31656,51,28727,49
San Joaquin,9562126,4,11017592,4
San Luis Obispo,2866739,16,3066374,16
San Mateo,212261,41,249542,41
Santa Barbara,6185839,11,4665022,11
Santa Clara,906608,30,954486,31
Santa Cruz,1687988,24,1743083,24
Shasta,275898,40,322139,37
Sierra,3307,57,4937,57
Siskiyou,1869645,23,1846509,23
Solano,977358,29,1170927,28
Sonoma,2282075,20,2172032,21
Stanislaus,6455449,10,6905458,9
Sutter,2923149,15,3182823,15
Tehama,690489,32,854682,32
Trinity,17651,53,11977,55
Tulare,14161509,3,14579963,3
Tuolumne,28526,52,28379,50
Ventura,7604327,7,6226684,10
Yolo,3208840,14,3578175,14
Yuba,1129466,27,1244731,27
