"Notes"	"Year"	"Year Code"	"County"	"County Code"	Births	% of Total Births	Average Birth Weight	Standard Deviation for Average Birth Weight	Average Age of Mother	Standard Deviation for Average Age of Mother	Average LMP Gestational Age	Standard Deviation for Average LMP Gestational Age
	"2007"	"2007"	"Alameda County, CA"	"06001"	1511	0.34%	1969.03	531.66	29.51	6.71	34.55	4.26
	"2007"	"2007"	"Butte County, CA"	"06007"	163	0.04%	1986.04	533.68	27.09	6.63	34.52	4.52
	"2007"	"2007"	"Contra Costa County, CA"	"06013"	892	0.20%	2009.11	497.80	29.92	7.01	34.56	3.91
	"2007"	"2007"	"El Dorado County, CA"	"06017"	115	0.03%	2007.88	488.80	29.92	6.56	35.03	3.91
	"2007"	"2007"	"Fresno County, CA"	"06019"	1264	0.28%	1993.29	531.61	26.83	6.87	34.57	4.40
	"2007"	"2007"	"Humboldt County, CA"	"06023"	96	0.02%	2032.85	451.26	27.47	5.58	34.85	3.29
	"2007"	"2007"	"Imperial County, CA"	"06025"	199	0.04%	1982.06	518.00	26.30	6.59	34.30	4.18
	"2007"	"2007"	"Kern County, CA"	"06029"	1105	0.25%	1973.45	527.48	26.36	6.65	34.36	4.30
	"2007"	"2007"	"Kings County, CA"	"06031"	178	0.04%	1991.08	534.39	26.07	6.22	34.49	4.55
	"2007"	"2007"	"Los Angeles County, CA"	"06037"	11170	2.51%	1972.77	531.08	28.81	6.99	34.37	4.24
	"2007"	"2007"	"Madera County, CA"	"06039"	176	0.04%	1938.74	561.79	26.90	6.80	34.02	4.43
	"2007"	"2007"	"Marin County, CA"	"06041"	169	0.04%	2044.03	435.24	33.21	6.02	34.86	3.78
	"2007"	"2007"	"Merced County, CA"	"06047"	287	0.06%	1948.22	559.50	27.41	7.24	34.31	4.30
	"2007"	"2007"	"Monterey County, CA"	"06053"	410	0.09%	2021.90	467.39	27.81	6.88	34.71	4.14
	"2007"	"2007"	"Napa County, CA"	"06055"	86	0.02%	1986.02	482.95	27.67	6.30	34.74	3.91
	"2007"	"2007"	"Orange County, CA"	"06059"	2880	0.65%	1980.81	523.58	29.71	6.61	34.38	4.15
	"2007"	"2007"	"Placer County, CA"	"06061"	262	0.06%	1943.35	559.24	30.11	7.01	33.87	4.21
	"2007"	"2007"	"Riverside County, CA"	"06065"	2297	0.52%	1975.50	524.96	27.42	6.68	34.39	4.29
	"2007"	"2007"	"Sacramento County, CA"	"06067"	1522	0.34%	1942.56	542.80	27.91	6.96	34.10	4.21
	"2007"	"2007"	"San Bernardino County, CA"	"06071"	2528	0.57%	1973.36	536.47	27.06	6.54	34.34	4.37
	"2007"	"2007"	"San Diego County, CA"	"06073"	3281	0.74%	1979.03	517.51	29.02	6.83	34.25	4.16
	"2007"	"2007"	"San Francisco County, CA"	"06075"	659	0.15%	2034.53	454.12	31.71	6.51	34.77	3.76
	"2007"	"2007"	"San Joaquin County, CA"	"06077"	782	0.18%	1957.11	516.49	27.18	6.77	34.04	4.13
	"2007"	"2007"	"San Luis Obispo County, CA"	"06079"	175	0.04%	1915.34	550.11	29.09	6.87	33.75	4.00
	"2007"	"2007"	"San Mateo County, CA"	"06081"	689	0.15%	1997.14	492.12	31.44	6.57	34.48	3.97
	"2007"	"2007"	"Santa Barbara County, CA"	"06083"	381	0.09%	2007.01	493.61	28.25	7.24	34.43	4.06
	"2007"	"2007"	"Santa Clara County, CA"	"06085"	1817	0.41%	1990.75	502.65	30.30	6.30	34.47	3.96
	"2007"	"2007"	"Santa Cruz County, CA"	"06087"	207	0.05%	1976.66	527.29	29.05	7.11	34.38	4.22
	"2007"	"2007"	"Shasta County, CA"	"06089"	152	0.03%	1952.44	526.32	24.63	5.55	34.80	4.40
	"2007"	"2007"	"Solano County, CA"	"06095"	412	0.09%	2003.66	516.62	27.75	6.33	34.47	4.21
	"2007"	"2007"	"Sonoma County, CA"	"06097"	327	0.07%	1996.64	500.06	29.46	7.20	34.50	3.88
	"2007"	"2007"	"Stanislaus County, CA"	"06099"	576	0.13%	1960.12	534.77	27.67	6.38	34.37	4.39
	"2007"	"2007"	"Tulare County, CA"	"06107"	499	0.11%	1891.49	572.82	25.82	6.37	33.80	4.69
	"2007"	"2007"	"Ventura County, CA"	"06111"	815	0.18%	1942.59	547.04	29.08	6.95	34.01	4.51
	"2007"	"2007"	"Yolo County, CA"	"06113"	129	0.03%	1997.26	526.20	29.26	6.20	34.68	4.06
	"2007"	"2007"	"Unidentified Counties, CA"	"06999"	676	0.15%	1995.09	491.94	27.17	6.62	34.36	3.95
"Total"	"2007"	"2007"			38887	8.74%	1976.20	524.61	28.58	6.89	34.37	4.21
	"2008"	"2008"	"Alameda County, CA"	"06001"	1492	0.34%	1975.09	528.23	30.12	6.64	34.35	4.12
	"2008"	"2008"	"Butte County, CA"	"06007"	133	0.03%	1921.44	533.01	26.54	6.26	34.63	4.38
	"2008"	"2008"	"Contra Costa County, CA"	"06013"	854	0.19%	2013.64	492.63	29.86	6.78	34.52	3.92
	"2008"	"2008"	"El Dorado County, CA"	"06017"	117	0.03%	1998.29	517.51	29.79	6.62	34.54	4.22
	"2008"	"2008"	"Fresno County, CA"	"06019"	1328	0.30%	1942.29	557.62	26.75	6.72	34.08	4.46
	"2008"	"2008"	"Humboldt County, CA"	"06023"	98	0.02%	2017.44	445.59	27.49	6.46	34.65	3.68
	"2008"	"2008"	"Imperial County, CA"	"06025"	221	0.05%	2061.55	463.90	26.58	6.61	35.31	3.76
	"2008"	"2008"	"Kern County, CA"	"06029"	1081	0.24%	1959.16	569.42	26.42	6.34	34.16	4.58
	"2008"	"2008"	"Kings County, CA"	"06031"	173	0.04%	1988.35	552.10	25.29	6.36	34.18	4.33
