"Notes"	"County"	"County Code"	"Year"	"Year Code"	Births
	"Alameda County, CA"	"06001"	"2007"	"2007"	1996
	"Alameda County, CA"	"06001"	"2008"	"2008"	1998
	"Alameda County, CA"	"06001"	"2009"	"2009"	1897
	"Alameda County, CA"	"06001"	"2010"	"2010"	1735
	"Alameda County, CA"	"06001"	"2011"	"2011"	1709
	"Alameda County, CA"	"06001"	"2012"	"2012"	1866
	"Alameda County, CA"	"06001"	"2013"	"2013"	1683
	"Alameda County, CA"	"06001"	"2014"	"2014"	1636
	"Alameda County, CA"	"06001"	"2015"	"2015"	1636
	"Alameda County, CA"	"06001"	"2016"	"2016"	1628
	"Alameda County, CA"	"06001"	"2017"	"2017"	1649
"Total"	"Alameda County, CA"	"06001"			19433
	"Butte County, CA"	"06007"	"2007"	"2007"	295
	"Butte County, CA"	"06007"	"2008"	"2008"	242
	"Butte County, CA"	"06007"	"2009"	"2009"	216
	"Butte County, CA"	"06007"	"2010"	"2010"	220
	"Butte County, CA"	"06007"	"2011"	"2011"	220
	"Butte County, CA"	"06007"	"2012"	"2012"	222
	"Butte County, CA"	"06007"	"2013"	"2013"	175
	"Butte County, CA"	"06007"	"2014"	"2014"	219
	"Butte County, CA"	"06007"	"2015"	"2015"	193
	"Butte County, CA"	"06007"	"2016"	"2016"	179
	"Butte County, CA"	"06007"	"2017"	"2017"	184
"Total"	"Butte County, CA"	"06007"			2365
	"Contra Costa County, CA"	"06013"	"2007"	"2007"	1395
	"Contra Costa County, CA"	"06013"	"2008"	"2008"	1302
	"Contra Costa County, CA"	"06013"	"2009"	"2009"	1234
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	1238
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	1159
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	1113
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	1046
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	1097
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	1114
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	1085
	"Contra Costa County, CA"	"06013"	"2017"	"2017"	1139
"Total"	"Contra Costa County, CA"	"06013"			12922
	"El Dorado County, CA"	"06017"	"2007"	"2007"	177
	"El Dorado County, CA"	"06017"	"2008"	"2008"	146
	"El Dorado County, CA"	"06017"	"2009"	"2009"	152
	"El Dorado County, CA"	"06017"	"2010"	"2010"	145
	"El Dorado County, CA"	"06017"	"2011"	"2011"	142
	"El Dorado County, CA"	"06017"	"2012"	"2012"	130
	"El Dorado County, CA"	"06017"	"2013"	"2013"	116
	"El Dorado County, CA"	"06017"	"2014"	"2014"	129
	"El Dorado County, CA"	"06017"	"2015"	"2015"	128
	"El Dorado County, CA"	"06017"	"2016"	"2016"	122
	"El Dorado County, CA"	"06017"	"2017"	"2017"	113
"Total"	"El Dorado County, CA"	"06017"			1500
	"Fresno County, CA"	"06019"	"2007"	"2007"	2202
	"Fresno County, CA"	"06019"	"2008"	"2008"	2167
	"Fresno County, CA"	"06019"	"2009"	"2009"	1844
	"Fresno County, CA"	"06019"	"2010"	"2010"	2020
	"Fresno County, CA"	"06019"	"2011"	"2011"	1911
	"Fresno County, CA"	"06019"	"2012"	"2012"	1859
	"Fresno County, CA"	"06019"	"2013"	"2013"	1585
	"Fresno County, CA"	"06019"	"2014"	"2014"	1538
	"Fresno County, CA"	"06019"	"2015"	"2015"	1620
	"Fresno County, CA"	"06019"	"2016"	"2016"	1420
	"Fresno County, CA"	"06019"	"2017"	"2017"	1357
"Total"	"Fresno County, CA"	"06019"			19523
	"Humboldt County, CA"	"06023"	"2007"	"2007"	157
	"Humboldt County, CA"	"06023"	"2008"	"2008"	130
	"Humboldt County, CA"	"06023"	"2009"	"2009"	112
	"Humboldt County, CA"	"06023"	"2010"	"2010"	125
	"Humboldt County, CA"	"06023"	"2011"	"2011"	116
	"Humboldt County, CA"	"06023"	"2012"	"2012"	116
	"Humboldt County, CA"	"06023"	"2013"	"2013"	99
	"Humboldt County, CA"	"06023"	"2014"	"2014"	114
	"Humboldt County, CA"	"06023"	"2015"	"2015"	108
	"Humboldt County, CA"	"06023"	"2016"	"2016"	136
	"Humboldt County, CA"	"06023"	"2017"	"2017"	118
"Total"	"Humboldt County, CA"	"06023"			1331
	"Imperial County, CA"	"06025"	"2007"	"2007"	361
	"Imperial County, CA"	"06025"	"2008"	"2008"	335
	"Imperial County, CA"	"06025"	"2009"	"2009"	322
	"Imperial County, CA"	"06025"	"2010"	"2010"	297
	"Imperial County, CA"	"06025"	"2011"	"2011"	268
	"Imperial County, CA"	"06025"	"2012"	"2012"	246
	"Imperial County, CA"	"06025"	"2013"	"2013"	206
	"Imperial County, CA"	"06025"	"2014"	"2014"	165
	"Imperial County, CA"	"06025"	"2015"	"2015"	206
	"Imperial County, CA"	"06025"	"2016"	"2016"	181
	"Imperial County, CA"	"06025"	"2017"	"2017"	164
"Total"	"Imperial County, CA"	"06025"			2751
	"Kern County, CA"	"06029"	"2007"	"2007"	1900
	"Kern County, CA"	"06029"	"2008"	"2008"	1986
	"Kern County, CA"	"06029"	"2009"	"2009"	1915
