Year,County,Birthweight Type,Total Births,Events,Percent,Lower 95% CI,Upper 95% CI,,,
2014,California,Low Birthweight,502878,33594,6.7,6.6,6.7,,,
2014,Alameda,Low Birthweight,19653,1357,6.9,6.6,7.3,,,
2014,Alpine,Low Birthweight,6,,,,,,,
2014,Amador,Low Birthweight,291,19,6.5,4.2,10,,,
2014,Butte,Low Birthweight,2482,164,6.6,5.7,7.7,,,
2014,Calaveras,Low Birthweight,348,28,8,5.6,11.4,,,
2014,Colusa,Low Birthweight,285,23,8.1,5.4,11.8,,,
2014,Contra Costa,Low Birthweight,12558,841,6.7,6.3,7.1,,,
2014,Del Norte,Low Birthweight,324,21,6.5,4.3,9.7,,,
2014,El Dorado,Low Birthweight,1618,100,6.2,5.1,7.5,,,
2014,Fresno,Low Birthweight,15788,1249,7.9,7.5,8.3,,,
2014,Glenn,Low Birthweight,416,27,6.5,4.5,9.3,,,
2014,Humboldt,Low Birthweight,1474,92,6.2,5.1,7.6,,,
2014,Imperial,Low Birthweight,3270,190,5.8,5.1,6.7,,,
2014,Inyo,Low Birthweight,226,18,8,5.1,12.2,,,
2014,Kern,Low Birthweight,14192,988,7,6.6,7.4,,,
2014,Kings,Low Birthweight,2342,145,6.2,5.3,7.2,,,
2014,Lake,Low Birthweight,748,55,7.4,5.7,9.4,,,
2014,Lassen,Low Birthweight,326,24,7.4,5,10.7,,,
2014,Los Angeles,Low Birthweight,130132,9002,6.9,6.8,7.1,,,
2014,Madera,Low Birthweight,2313,139,6,5.1,7.1,,,
2014,Marin,Low Birthweight,2403,143,6,5.1,7,,,
2014,Mariposa,Low Birthweight,138,,,,,,,
2014,Mendocino,Low Birthweight,1020,60,5.9,4.6,7.5,,,
2014,Merced,Low Birthweight,4158,241,5.8,5.1,6.5,,,
2014,Modoc,Low Birthweight,90,,,,,,,
2014,Mono,Low Birthweight,149,14,9.4,5.7,15.2,,,
2014,Monterey,Low Birthweight,6456,399,6.2,5.6,6.8,,,
2014,Napa,Low Birthweight,1478,88,6,4.9,7.3,,,
2014,Nevada,Low Birthweight,817,47,5.8,4.4,7.6,,,
2014,Orange,Low Birthweight,38607,2430,6.3,6.1,6.5,,,
2014,Placer,Low Birthweight,3643,209,5.7,5,6.5,,,
2014,Plumas,Low Birthweight,147,12,8.2,4.7,13.7,,,
2014,Riverside,Low Birthweight,30266,1975,6.5,6.3,6.8,,,
2014,Sacramento,Low Birthweight,19879,1396,7,6.7,7.4,,,
2014,San Benito,Low Birthweight,696,32,4.6,3.3,6.4,,,
2014,San Bernardino,Low Birthweight,31294,2201,7,6.8,7.3,,,
2014,San Diego,Low Birthweight,44590,2859,6.4,6.2,6.6,,,
2014,San Francisco,Low Birthweight,9101,606,6.7,6.2,7.2,,,
2014,San Joaquin,Low Birthweight,10091,701,6.9,6.5,7.5,,,
2014,San Luis Obispo,Low Birthweight,2593,145,5.6,4.8,6.5,,,
2014,San Mateo,Low Birthweight,9097,632,6.9,6.4,7.5,,,
2014,Santa Barbara,Low Birthweight,5829,340,5.8,5.3,6.5,,,
2014,Santa Clara,Low Birthweight,23754,1611,6.8,6.5,7.1,,,
2014,Santa Cruz,Low Birthweight,3047,149,4.9,4.2,5.7,,,
2014,Shasta,Low Birthweight,2083,114,5.5,4.6,6.5,,,
2014,Sierra,Low Birthweight,21,,,,,,,
2014,Siskiyou,Low Birthweight,451,39,8.6,6.4,11.6,,,
2014,Solano,Low Birthweight,5250,347,6.6,6,7.3,,,
2014,Sonoma,Low Birthweight,5075,284,5.6,5,6.3,,,
2014,Stanislaus,Low Birthweight,7518,455,6.1,5.5,6.6,,,
