county,lbs_2013,rank_2013,lbs_2014,rank_2014
Alameda,320177,38,305138,38
Alpine,266,58,271,58
Amador,77428,46,95998,43
Butte,2984674,17,2987804,17
Calaveras,33471,48,58683,47
Colusa,2849497,18,2484881,18
Contra Costa,389713,36,412703,36
Del Norte,308627,39,25006,52
El Dorado,143503,42,155546,41
Fresno,34343074,1,31828231,1
Glenn,2159514,22,2085121,21
Humboldt,27265,51,36655,50
Imperial,4620545,12,5005430,11
Inyo,15783,54,12114,55
Kern,31518004,2,27181424,2
Kings,7431201,8,6886134,9
Lake,594730,34,581234,34
Lassen,136408,43,116873,42
Los Angeles,2444589,19,2077656,22
Madera,10195362,5,9584260,5
Marin,84925,45,76885,46
Mariposa,17782,53,8748,57
Mendocino,991301,30,889088,31
Merced,8541414,6,8953045,7
Modoc,87922,44,91581,44
Mono,11228,56,9885,56
Monterey,8536773,7,9389183,6
Napa,1254737,26,1372525,26
Nevada,47894,47,53695,48
Orange,1075950,29,919351,30
Placer,303443,40,308111,37
Plumas,25684,52,26863,51
Riverside,2434845,20,2234831,19
Sacramento,3654687,13,4025246,13
San Benito,653924,33,660448,33
San Bernardino,571095,35,577939,35
San Diego,1628489,25,1617591,24
San Francisco,28727,49,39882,49
San Joaquin,10941368,4,12025375,4
San Luis Obispo,3088808,16,3029013,15
San Mateo,266421,41,260261,39
Santa Barbara,4666313,11,4782176,12
Santa Clara,956499,31,1319606,27
Santa Cruz,1743406,24,1907983,23
Shasta,322145,37,247099,40
Sierra,4937,57,12384,54
Siskiyou,1846556,23,1615802,25
Solano,1197064,28,1282937,28
Sonoma,2238715,21,2211222,20
Stanislaus,6969007,9,7076448,8
Sutter,3185191,15,3020090,16
Tehama,857274,32,857848,32
Trinity,12041,55,22317,53
Tulare,14686564,3,14908389,3
Tuolumne,28381,50,83290,45
Ventura,6268816,10,6532477,10
Yolo,3578591,14,3471719,14
Yuba,1254145,27,1031791,29
