CHEMNAME	ACRES_2007	ACRES_2008	ACRES_2009	ACRES_2010	ACRES_2011	ACRES_2012	ACRES_2013	ACRES_2014	ACRES_2015	ACRES_2016
1080	170	0	67	176	127	0	111	4	0	4
2,4-DB ACID	15080	19457	21629	6980	121	11301	13739	14719	15508	26333
ABAMECTIN	1257542	1225216	1274898	1552360	1972337	2222666	2406516	2335421	2338023	2430329
AMITRAZ			74				351	316	88	450
ARSENIC PENTOXIDE	0	0	0	0	0	0	0	0	0	0
ARSENIC TRIOXIDE	0	0	0	0	0	0		0	0	0
ATRAZINE	17382	16766	15767	19990	17236	23827	18305	15404	14537	17237
BENOMYL	568	221	163	.5	24	19	.85	0	0	0
BROMACIL, LITHIUM SALT	0	0	0	0	0	0	0	0	0	0
BROMOXYNIL OCTANOATE	136831	186026	146301	125926	139293	153503	132257	118306	133826	119809
CARBARYL	97016	96136	107458	80082	68074	97229	96647	108805	136319	116551
CARBON DISULFIDE	0	1	.25		0	0		.2	0	0
CHLORDECONE	1				0	0	0	0	0	0
CYANAZINE					4	.25		0	.344	.028
CYCLOATE	15601	10581	12058	13799	14879	17565	16045	19124	21037	23173
CYCLOHEXIMIDE					5					
DICHLOROPHEN							0			
DICLOFOP-METHYL	225		30		20					
DINOCAP	8	7	7		.512					
DINOSEB	17	453	304	111	427	81	55	450	67	0
DIOCTYL PHTHALATE	13258	3582	4928	7921	4741	5311	3188	1885	626	76
DISODIUM CYANODITHIOIMIDO CARBONATE						235	0		300	831
ENDRIN				0						
EPTC	51706	45560	49708	44289	47645	56872	69989	89126	91512	100884
ETHYLENE DIBROMIDE	0	0	.25			0			0	
ETHYLENE GLYCOL	63139	98694	104574	146926	199491	249378	286255	158378	202923	245568
ETHYLENE GLYCOL MONOMETHYL ETHER	26412	14857	14573	35802	37552	35682	34566	35902	38633	29998
ETHYLENE OXIDE	0	2	60			.367		0		
FENOXAPROP-ETHYL	2552	3444	143	0	61					
FLUAZIFOP-BUTYL	0	6	2	80	0	.184	40	3	180	0
HEPTACHLOR						0				
HYDRAMETHYLNON	931	1138	1280	4689	1514	6876	1376	1653	5307	6854
LINURON	81041	81244	68604	68058	76828	81958	73493	76353	70944	74469
METAM-SODIUM	78030	71815	74132	71407	70794	58998	28145	24422	24254	19437
METHANOL										23
METHYL BROMIDE	45675	35685	39587	32232	46785	30147	26429	16578	12753	11031
METIRAM					0	.009	0	0	0	0
MOLINATE	17476	4529	2942	6	0	.12	3	.15	1	.765
MYCLOBUTANIL	599368	545175	512906	588750	567201	574436	537492	564798	544951	524782
NABAM	2	1	3	13	0	0	0	0	0	6
NICOTINE	0	0	0	0	0	0			0	
NITRAPYRIN	35		88	111		0	.636		0	.344
OXADIAZON	2991	2747	1451	1712	927	1148	1511	1239	1777	1067
OXYDEMETON-METHYL	161835	140760	82368	86131	27438	18204	12163	9096	7355	7883
OXYTETRACYCLINE HYDROCHLORIDE	24825	473	815	8644	1125	364	1417	1	0	52727
OXYTETRACYCLINE, CALCIUM COMPLEX	36889	46731	44418	45210	55222	54087	59092	56914	62384	19082
OXYTHIOQUINOX	9	5	4	4	.9	1	0	0		7
POTASSIUM DIMETHYL DITHIO CARBAMATE			0							
PROPARGITE	261953	186581	174063	137106	141890	114213	121952	104758	87943	87222
PROPAZINE						0	0	0		
RESMETHRIN	18	3	11	.01	6	4	436	18	7	3
SIMAZINE	411719	320992	339117	289006	322104	241359	205338	165261	118823	112782
SODIUM DIMETHYL DITHIO CARBAMATE	2	1	3	13	0	0	0	0	0	6
STREPTOMYCIN SULFATE	38468	27011	24453	28966	39115	34895	38017	39705	40747	67829
SULFUR DIOXIDE	71	19	2503	256	45	1323	218	535	777	400
TAU-FLUVALINATE	4777	5708	5015	4583	5045	4996	5398	5363	5195	5484
THIOPHANATE-METHYL	100011	71867	92429	122563	85053	124162	120670	134968	119799	129407
TRIADIMEFON	1806	2043	1007	1172	2358	1341	907	1282	2042	1185
TRIBUTYLTIN METHACRYLATE							0			
TRICHLORO ETHYLENE					0		0			
TRIFORINE	373	11	10	22	3	.33	.014	3	0	0
VINCLOZOLIN	258	212	85	86	99	34	11	5	10	6
WARFARIN	3165	1118	365	290	1290	3115	381	435	556	236
