county,lbs_2013,rank_2013,lbs_2014,rank_2014
alameda,320177,38,305138,38
alpine,266,58,271,58
amador,77428,46,95998,43
butte,2984674,17,2987804,17
calaveras,33471,48,58683,47
colusa,2849497,18,2484881,18
contra costa,389713,36,412703,36
del norte,308627,39,25006,52
el dorado,143503,42,155546,41
fresno,34343074,1,31828231,1
glenn,2159514,22,2085121,21
humboldt,27265,51,36655,50
imperial,4620545,12,5005430,11
inyo,15783,54,12114,55
kern,31518004,2,27181424,2
kings,7431201,8,6886134,9
lake,594730,34,581234,34
lassen,136408,43,116873,42
los angeles,2444589,19,2077656,22
madera,10195362,5,9584260,5
marin,84925,45,76885,46
mariposa,17782,53,8748,57
mendocino,991301,30,889088,31
merced,8541414,6,8953045,7
modoc,87922,44,91581,44
mono,11228,56,9885,56
monterey,8536773,7,9389183,6
napa,1254737,26,1372525,26
nevada,47894,47,53695,48
orange,1075950,29,919351,30
placer,303443,40,308111,37
plumas,25684,52,26863,51
riverside,2434845,20,2234831,19
sacramento,3654687,13,4025246,13
san benito,653924,33,660448,33
san bernardino,571095,35,577939,35
san diego,1628489,25,1617591,24
san francisco,28727,49,39882,49
san joaquin,10941368,4,12025375,4
san luis obispo,3088808,16,3029013,15
san mateo,266421,41,260261,39
santa barbara,4666313,11,4782176,12
santa clara,956499,31,1319606,27
santa cruz,1743406,24,1907983,23
shasta,322145,37,247099,40
sierra,4937,57,12384,54
siskiyou,1846556,23,1615802,25
solano,1197064,28,1282937,28
sonoma,2238715,21,2211222,20
stanislaus,6969007,9,7076448,8
sutter,3185191,15,3020090,16
tehama,857274,32,857848,32
trinity,12041,55,22317,53
tulare,14686564,3,14908389,3
tuolumne,28381,50,83290,45
ventura,6268816,10,6532477,10
yolo,3578591,14,3471719,14
yuba,1254145,27,1031791,29
